-32.6736	-70.3968	-41.2017	3	2	Cerebelum_Crus2_R
8.11765	-38.3676	-19.7794	3	2	Cerebelum_3_L
-13.0628	-35.7101	-20.599	3	2	Cerebelum_3_R
14.3431	-44.6631	-18.2613	10	2	Cerebelum_4_5_L
-17.8885	-44.1649	-19.3542	3	2	Cerebelum_4_5_R
22.5254	-60.2586	-23.4805	3	2	Cerebelum_6_L
-25.4295	-59.5376	-24.9404	3	2	Cerebelum_6_R
31.5897	-61.0496	-46.7521	3	2	Cerebelum_7b_L
-33.9288	-64.4082	-49.7603	11	2	Cerebelum_7b_R
25.0291	-55.7711	-49.0546	12	2	Cerebelum_8_L
-25.773	-57.6309	-50.7981	2	2	Cerebelum_8_R
10.2532	-50.1887	-47.2359	3	2	Cerebelum_9_L
-10.1904	-50.7515	-47.6242	3	2	Cerebelum_9_R
21.7917	-35	-43.0694	13	2	Cerebelum_10_L
-26.805	-35.0189	-42.6415	14	2	Cerebelum_10_R
-1.50944	-40.1132	-21.3585	15	2	Vermis_1_2
-2.05264	-41.2895	-12.7193	3	2	Vermis_3
-1.83459	-53.594	-7.4015	3	2	Vermis_4_5
-1.7682	-68.3504	-16.3935	3	2	Vermis_6
-1.86598	-73.1959	-26.3505	16	2	Vermis_7
-1.8107	-65.6543	-35.3498	3	2	Vermis_8
-1.60919	-56.1724	-36.2989	3	2	Vermis_9
-1.14286	-47.12	-32.875	17	2	Vermis_10
